Strength,力量
"Rattling Bellow",野蛮嚎叫
Bloodscent,鲜血之腥
"Run Through",飘雪穿云
"Wound Aggravation",恶化创伤
Overlord,霸主
"Expansive Might",万象之力
"Weight Advantage",千斤坠
Wind-up,螺旋之风
"Fan of Blades",回风之剑
"Disease Vector",疫病弥漫
"Arcing Shot",弧光箭
"Tempered Arrowheads",淬火箭头
Broadside,侧舷炮
"Explosive Force",混元震天
"Opportunistic Fusilade",趁机发难
"Storm's Hand",风暴之手
"Battlefield Dominator",战场主宰
"Martial Mastery",武艺专精
"Surefooted Striker",好整以暇
"Graceful Execution",优雅处刑
"Brutal Infamy",恶名昭著
"Fearsome Warrior",凶骇武士
"Combat Rhythm",韵律战法
"Hit and Run",连打带跑
"Insatiable Killer",无尽杀戮
"Mage Bane",破法
"Martial Momentum",技如长虹
"Deadly Repartee",疾雨摧花
"Quick and Deadly",又快又狠
"Smite the Weak",截心击
"Heavy Hitter",金刚拳
"Martial Prowess",武艺精湛
Calamitous,灾殃
Devastator,破坏者
"Fuel the Fight",充能备战
"Drive the Destruction",毁灭引擎
"Feed the Fury",怒火盛宴
"Seal Mender",弥补之印
"Conjured Wall",咒法之墙
"Arcane Heroism",奥术英姿
"Practiced Caster",施法熟手
"Burden Projection",掷象功
Thaumophage,奥法蠕虫
"Essence Rush",精华疾攻
"Sap Psyche",心灵枯竭
Sadist,狂虐者
"Corrosive Elements",腐蚀元素
"Doryani's Lesson",多里亚尼之训
"Disorienting Display",心神错乱
"Prismatic Heart",棱光之心
"Widespread Destruction",毁天灭地
"Master of Fire",火焰之主
"Smoking Remains",燃烬之烟
Cremator,焚化炉
Snowstorm,暴风雪
"Storm Drinker",风暴痛饮
Paralysis,瘫痪
Supercharge,超级聚能
"Blanketed Snow",大雪漫天
"Cold to the Core",冻彻心扉
"Cold-Blooded Killer",冷血杀手
"Touch of Cruelty",残酷之触
"Unwaveringly Evil",不动之恶
"Unspeakable Gifts",莫名之赐
"Dark Ideation",黑暗构想
"Unholy Grace",渎神雅量
"Wicked Pall",邪恶烟云
Renewal,复兴
"Raze and Pillage",寸草不生
"Rotten Claws",腐烂之爪
"Call to the Slaughter",屠夫呼唤
"Skeletal Atrophy",魔侍凋零
"Hulking Corpses",肿胀灵柩
"Vicious Bite",恶毒撕咬
"Primordial Bond",原初之缚
Blowback,还击
"Fan the Flames",煽风点火
"Cooked Alive",汤镬
"Burning Bright",熊熊燃烧
"Wrapped in Flame",火焰缠身
"Vivid Hues",多彩之色
Rend,撕裂
"Disorienting Wounds",累累伤痕
"Compound Injury",老痕新伤
"Septic Spells",降蛊
"Low Tolerance",低容忍
"Steady Torment",缓慢折磨
"Eternal Suffering",永恒苦难
"Eldritch Inspiration",旧神启迪
"Wasting Affliction",凌虐酷刑
Haemorrhage,大出血
"Flow of Life",放血
"Exposure Therapy",解剖疗法
"Brush with Death",梳洗之刑
"Vile Reinvigoration",邪恶复兴
"Circling Oblivion",循环湮灭
"Brewed for Potency",力量萃取
"Astonishing Affliction",惊怖酷刑
"Cold Conduction",寒冰导体
"Inspired Oppression",绝妙镇压
"Chilling Presence",惊寒降临
"Deep Chill",深寒
Blast-Freeze,千里冰封
Thunderstruck,天雷轰顶
Stormrider,风暴骑手
Overshock,霹雳雷震
"Evil Eye",邪恶之眼
"Whispers of Death",死亡私语
"Forbidden Words",禁断之言
"Dark Discourse",黑暗篇章
"Victim Maker",牺牲制造者
"Master of Fear",恐惧之主
"Wish for Death",死亡之愿
Heraldry,传令者
Endbringer,末日使者
Cult-Leader,祭仪领袖
"Empowered Envoy",赋能使者
"Dark Messenger",黑暗使者
"Agent of Destruction",毁灭使徒
"Lasting Impression",持久印象
"Self-Fulfilling Prophecy",自圆其说
"Invigorating Portents",欢欣预兆
"Pure Agony",纯粹苦痛
Disciples,门徒
"Dread March",致命行军
"Blessed Rebirth",受福重生
"Life from Death",由死复生
"Feasting Fiends",饕餮群魔
Bodyguards,保镖
Follow-Through,追随
Streamlined,流线作业
"Shrieking Bolts",呼啸飞箭
"Eye to Eye",以眼还眼
Repeater,连发
Aerodynamics,空气力学
"Chip Away",开凿
"Seeker Runes",探索符文
Remarkable,非凡瞩目
"Brand Loyalty",忠诚钢印
"Holy Conquest",神圣征服
"Grand Design",宏伟计划
"Set and Forget",高枕无忧
"Expert Sabotage",破坏专家
"Guerilla Tactics",游击战
Expendability,扩张
"Arcane Pyrotechnics",奥术烟花
"Surprise Sabotage",惊奇破坏
"Careful Handling",谨慎操纵
"Peak Vigour",巅峰状态
Fettle,整顿
"Sublime Sensation",崇高感
"Surging Vitality",活力振奋
"Peace Amidst Chaos",乱中有静
Adrenaline,肾上腺素
"Wall of Muscle",肌肉之墙
Mindfulness,正念
"Liquid Inspiration",液化启迪
Openness,坦率
"Daring Ideas",激进理念
"Clarity of Purpose",心意已决
"Scintillating Idea",闪光理念
"Holistic Health",天人化生
Genius,天才
Improvisor,即兴演出
"Stubborn Student",倔强学徒
"Savour the Moment",品味片刻
"Energy From Naught",无中生有
"Will Shaper",勇毅者
"Spring Back",折回冲刺
"Conservation of Energy",能量留存
"Heart of Iron",钢铁之心
"Prismatic Carapace",棱光之壳
Militarism,穷兵黩武
"Second Skin",天衣无缝
"Dragon Hunter",屠龙猎手
"Enduring Composure",持久冷静
"Prismatic Dance",棱光之舞
"Natural Vigour",万物滋生
Untouchable,不可触及
"Shifting Shadow",变换之影
Readiness,准备就绪
"Confident Combatant",自信斗士
"Flexible Sentry",灵活哨兵
"Vicious Guard",恶毒守卫
"Mystical Ward",秘法结界
"Rote Reinforcement",刻板援军
"Mage Hunter",法师猎人
"Riot Queller",骚乱平息
"One with the Shield",顽强壁垒
Aerialist,高空钢丝
"Elegant Form",优雅形体
"Darting Movements",突进时刻
"Molten One's Mark",熔岩者印记
"Fire Attunement",火冥功
"Pure Might",纯粹之力
Blacksmith,铁匠
Non-Flammable,不可燃烧
"Winter Prowler",深冬潜者
Hibernator,冬眠者
"Pure Guile",天生狡诈
Alchemist,炼金师
Antifreeze,防护冻结
Wizardry,非凡才能
Capacitor,充能器
"Pure Aptitude",天赋禀异
Sage,贤者
Insulated,绝缘
"Born of Chaos",混沌降生
Antivenom,防护毒素
Rot-Resistant,腐烂抗力
Blessed,受福
"Student of Decay",腐朽学徒
"Lord of Drought",旱魃
"Blizzard Caller",呼风唤雪
"Tempt the Storm",风暴之诱
"Misery Everlasting",苦痛永存
"Exploit Weakness",开发要害
Self-Control,自制
Uncompromising,决不妥协
"Sublime Form",崇高之形
"Summer Commander",夏日都统
"Winter Commander",冬日都统
"Grounded Commander",理智都统
"Attack Damage Mastery",攻击伤害专精
"Spell Damage Mastery",法术伤害专精
"Physical Damage Mastery",物理伤害专精
"Chaos Damage Mastery",混沌伤害专精
"Physical Damage over Time Multiplier",持续物理伤害加成
"Damage over Time Multiplier",持续伤害加成
"Damage over Time Multiplier Mastery",冰霜持续伤害加成专精
"Projectile Damage Mastery",投射物伤害专精
"Trap and Mine Damage Mastery",陷阱和地雷伤害专精
"Instruments of Zeal",狂热之器
"Armour, Life Regeneration",护甲和生命再生
"Mana Regeneration, Arcane Surge Effect","魔力再生, 秘术增强效果"
"Energy Shield, Chaos Damage",能量护盾和混沌伤害
"Energy Shield, Cold Damage",能量护盾和冰霜伤害
"Blade Sovereign",君王之刃
"Call of Steel Speed and Area",钢铁呼唤速度和范围
"Hex Area of Effect and Faster Doom Gain",魔蛊效果区域和快速获取灭能
"Heart of Destruction",毁灭之心
"Bastion of Elements",元素堡垒
"Elemental Damage, Fire Damage over Time Multiplier",元素伤害和持续火焰伤害加成
"Elemental Damage, Lightning Ailment Effect",元素伤害和闪电异常状态效果
"Elemental Damage, Cold Ailment Effect",元素伤害和冰霜异常状态效果
"Shaper of Flames",火焰塑形
"Shaper of Storms",风暴塑形
"Shaper of Winter",寒冬塑形
"Armour and Evasion, Impale Chance",护甲、闪避值和穿刺几率
"Armour and Evasion, Fortify Effect",护甲、闪避值和护体效果
"Critical Strike Chance, Elusive Effect",暴击率和灵巧效果
"Flask Effect, Poison Duration",药剂效果和中毒持续时间
"Attack and Cast Speed, Damage",攻击和施法速度及伤害
"Evasion, Onslaught Effect",闪避和猛攻效果
"Projectile Damage, Mark Cast Speed",投射物伤害和印记施法速度
Rupturing,碎裂
"Projectile Damage, Mirage Archer Duration",投射物伤害和幻影射手持续时间
"Occupying Force",占领军
"Projectile Damage, Projectile Speed",投射物伤害和投射物速度
"Focal Point",聚焦点
"Wind Ward",风之结界
"Flask Charges Gained",药剂充能获取率
"Reduced Reservation",降低保留
"Physical Damage and Strength",物理伤害和力量
"Mine Damage and Reduced Reservation",地雷伤害和降低魔力保留
"Axe and Sword Mastery",斧剑专精
"Dual Wield Mastery",双持精通
"Flask Mastery",药剂专精
"Life and Reduced Cost",生命与减少魔力消耗
"Attack Damage while Fortified and Fortify Duration",强化效果和持续时间
"Physical Damage, Life Leeched per Second","物理攻击伤害, 每秒生命偷取速率"
"Physical Damage, Critical Strike Chance",物理攻击伤害，暴击率
"Physical Damage, Attack Speed","物理攻击伤害, 攻击速度"
"Physical Damage, Warcry Speed",物理攻击伤害、战吼速度
"Defy Pain",苦痛劫掠
"Evasion, Elemental Damage",闪避，移动速度
"Armour and Evasion, Attack Damage while Fortified",护甲、闪避值和护体效果
"Damage with Life Cost Skills",消耗生命施展技能的伤害
"Damage with Life Cost Skills and Reduced Life Cost",消耗生命施展技能的伤害及降低生命消耗
"Cannibalistic Rite",惨绝典礼
"Physical and Minion Damage",物理和召唤生物伤害
"Melee Damage while Fortified",护体效果和近战伤害
"Armour while Fortified",护体效果和护甲
"Rage Mastery",怒火专精
"Reduced Reservation of Heralds",降低捷光环的魔力保留
"Stance Skill Reservation",姿态技能冷却回复速度
"Reduced Reservation of Curse Skills",诅咒技能的魔力保留降低
"Physical Damage and Overwhelm",物理伤害和压制
Vanquisher,百战百胜
Relentless,冷酷无情
"Physical Damage and Physical Damage Over Time Multiplier",物理伤害和持续物理伤害加成
"Veteran Soldier",饱经征战
"Curse Effect on You and Consecrated Ground Effect",你身上的诅咒效果和奉献地面效果
Asylum,逃难所
"Careful Conservationist",谨慎保护
"Flask Effect Duration",药剂效果持续时间
"Flask Charges Used",药剂充能获取
"Natural Remedies",自然疗法
"Blood Artist",赤血造诣
Phlebotomist,赤血医师
"Tireless Soldier",职业军人
"Blood Oath",鲜血誓言
"Thirst for Battle",处刑者之饿
Veinslicer,静脉切割
"Murderous Intent",坚韧磨砺
"Arcane Recovery",智力防御
"Moment's Respite",瞬间喘息
"Shavronne's Secret",薛朗之秘
Implacable,不动如山
"Agile Combatant",冲刺者
"Getaway Gambit",逍遥局
"Perpetual Motion",持久运动
"Thought Barrier",思维屏障
"Sharp Intellect",锋锐智慧
"Waking Dream",清醒沉梦
"Gargantuan Impacts",巨兽冲击
"Vicious Bloodletter",角斗士之锋
"Lifelong Warrior",正义惩击
"Triad Torments",三重折磨
"Way of the Blade",刀剑之道
"Reckless Assault",破釜沉舟
"Brutal Skewering",残忍穿刺
"Martyr's Legacy",烈士遗产
Dynamism,跃动活力
"Energy Well",远征老兵
"Apprentice Battlemage",魔武学徒
"Elemental Adept",元素行家
"Black Thumb",寸草不生
"Debilitating Energy",影之锐
"Blurred Form",模糊之形
"Reigning Champion",勇士之愿
"Personal Combat",私人战斗
"Pride of the Arena",狂战之怒
"Expert Fencer",部落凶蛮
"Arrow to the Face",爆头箭
Arrowstorm,箭矢风暴
"Venomous Ire",恶毒之怒
"Accelerated Volley",加速齐射
"Born for the Hunt",天生猎手
"Distant Snipe",远狙
"Colossal Arrows",巨灵之箭
"Spined Arrows",飞旋之箭
"Feathered Arrows",钉穿箭矢
"Orchestral Chant",苦痛灵曲
Prestidigitation,灵能宗师
Spellmaster,法术大师
"One Man Leaves",女猎手
Eyestabber,插眼
"Bloody Vengeance",狂战之雅
"Heart Eater",吞心者
"Mystical Expansion",散射
"Defensive Arts",坚定不移
"Classic Wizardry",灵活专注
"Vitality Draughts",活力跳棋
"Spirit Draughts",灵魂跳棋
"Punishing Gale",先祖魂约
"Forceful Circuit",先祖守卫
"Fanned Flames",雕竹
"Machinist's Guarantee",破坏者的担保
"Unstable Mechanisms",不稳定装置
Swiftfooted,迅捷步
"Element of Surprise",刺客的机会
"Pernicious Infusion",极度凶残
"Excessive Cruelty",狂热远征
"Path to Power",超群之击
Shieldbashing,猛力盾击
Shieldbearer,持盾人
"Volcanic Blood",火山之子
"Heavy Combat",重甲战斗
"Deadly Dance",双重闪击
"Twin Savagery",暴行孪生
"Draining Glare",灼人凝视
"Thrill of the Kill",持续战役
"Acquired Tolerance",老兵疤痕
"Lingering Toxins",刺骨羞辱
"Well-travelled Warrior",塔赫亚恩典
Hardheaded,精明冷静
"Sly Shot",诡秘射击
Icebind,严冬笼罩
"Unbearable Agony",封闭循环
"Wildfire Emissary",野火密使
Coalwalker,焦炭行者
"Storm Ritual",风暴秘祭
"Winter Hunt",寒冬狩猎
"Dogged Refusal",严词拒绝
"Constant Overcharge",持续超载
"Head Smasher",不屈之志
"Helmet Crusher",专注大奖
"Skilled Poacher",无情蜂拥
"Frenetic Fighter",钢铁之肌
"Indomitable Warrior",护甲大师
"Intellectual Defence",高瞻远瞩
"Endless Endurance",猎人反应
"Master of the Storm",醉拳
"Cruel Voltage",残酷电压
"Master of Immolation",血脉生烟
"Master of Winter",凛冬之主
"The Untouchable",浸骨之寒
"Staff Block",长杖格挡
"Elemental Resistances with a Shield",持盾元素抗性
"Spiked Bulwark",荆刺守护
"Elemental Resistances",元素抗性
"Shock Chance",感电几率
"Dagger Critical Strike Multiplier",匕首暴击伤害加成
"Dagger Critical Strike Chance and Leech",匕首暴击率和偷取
"Minion Resistances",召唤生物抗性
"Wand Lightning Damage",法杖闪电伤害
"Freeze Chance",冻结几率
"Burning Damage Multiplier",燃烧伤害加成
"Cold Damage and Freeze Chance",冰霜伤害和冻结几率
"Cold Ailment Duration",冰霜异常状态持续时间
Vampirism,吸血鬼症
"One With Nature",天人合一
"Life Raker",生命收割
Intuition,直觉感知
"Physical Bow Damage and Stun Threshold",弓类物理伤害和眩晕门槛
"Bow Damage Over Time",弓类持续伤害
"Poison Chance and Damage",中毒几率和伤害
"Evasion and Spell Suppression",闪避和法术压制
"Life and Stun Avoidance",生命和眩晕回避率
"Mana and Flask Charges Gained",魔力和药剂充能获取率
"Shock Avoidance",感电回避率
"Ignite Avoidance",点燃回避率
"Freeze and Chill Avoidance",冻结和冰缓回避率
"Projectile Damage and Accuracy",投射物伤害和命中
Ballistics,弹道学
"Accuracy and Attack Damage",命中和攻击伤害
"Projectile Attack Critical Strike Chance",投射物攻击暴击率
"Projectile Attack Critical Strike Chance and Multiplier",投射物攻击暴击率和伤害加成
"Spell Damage and Mana",法术伤害和魔力
"Movement Speed and Spell Suppression",移动速度和法术压制
"Mana Regeneration",魔力再生
Presage,预知之力
"Shield Block and Elemental Resistances with a Shield",持盾格挡和持盾元素抗性
"Sword Critical Strike Chance",剑的暴击率
"Savage Wounds",狂野之创
"Dual Wield Block and Attack Speed",双持格挡和攻击速度
"Ignite Chance and Duration",点燃几率和持续时间
"Reservation Efficiency",保留效能
"Attack Ignite Chance and Attack Speed",攻击点燃几率和攻击速度
"Trap Critical Strike Chance and Multiplier",陷阱暴击率和伤害加成
"Energy Shield Recharge Rate",能量护盾充能率
"Mine Detonation Speed",地雷引爆速度
"Trap Throwing Speed",陷阱投掷速度
"Essence Infusion",精华灌注
"One with Evil",极恶非道
"Minion Block",召唤生物格挡
"Minion Spell Block",召唤生物法术格挡
Goliath,巨人之力
"Axe Damage and Impale Chance",斧类伤害和穿刺几率
"Clever Thief",机敏猎人
"Cold Ailment Effect",冰霜异常状态效果
"Chance to Ignite",点燃几率
"Lightning Ailment Effect",闪电异常状态效果
"Avoid Interruption while Casting and Elemental Resistances",施法免打断和元素抗性
"Chance for Extra Fork Projectile",额外投射物分裂几率
"Avoid Status Ailments",避免异常状态
"Master of Blades",刀剑之主
"Mana and Mana on Kill",魔力和击败获取魔力
"Thrill Killer",颤栗打击者
"Claw Critical Strike Chance and Accuracy",爪类暴击率和命中值
"Claw Critical Strike Chance",爪类暴击几率
"Claw Attack Speed",爪类攻击速度
"Claw Ailment Damage and Poison Duration",爪类异常状态伤害和中毒持续时间
"Claw Ailment Damage and Poison Chance",爪类异常状态伤害和中毒几率
"Life Recoup",生命回收
Robust,健壮
"Shield Block and Elemental Resistances","盾牌 格挡和元素抗性"
"Faster Bleeding",快速流血
"Maximum Lightning Resistance",最大闪电抗性
"Sword Critical Strike Multiplier",剑类暴击伤害加成
"Sword Accuracy and Critical Strike Chance","剑类命中值和暴击率 "
"Mana on Hit",击中魔力
"Attack Damage while Fortified",护体时的攻击伤害
"Fortification Gain",护体获取
"Explosive Elements",爆破元素
"Totem Critical Strike Chance",图腾暴击率
"Totem Critical Strike Multiplier",图腾暴击伤害加成
"Ignite Chance",点燃几率
"Reigning Veteran",老当益壮
Heartstopper,凝心者
"Damage Over Time Multiplier and Life Regeneration",持续伤害加成和生命再生
"Poison Damage Multiplier",中毒伤害加成
"Poison Chance and Duration",中毒几率和持续时间
"Trap Trigger Area",陷阱触发区域
"Trap Cooldown Recovery",陷阱冷却回复速度
"Mine Duration",地雷持续时间
"Physical Damage as Extra Cold Damage",物理伤害和额外冰霜伤害
"Weapon Elemental Damage and Ailment Effect",武器元素伤害和异常状态效果
"Ailment Damage",异常状态伤害
"Damaging Ailment Duration",伤害型异常状态持续时间
"Chain Distance",连锁距离
"Minion Accuracy",召唤生物命中
"Minion Damage and Attack and Cast Speed",召唤生物伤害与攻击和施法速度
"Life Regeneration and Stun Threshold",生命再生和眩晕门槛
"Brand Critical Strike Chance",烙印暴击率
Avoidance,回避率
"Stun Avoidance",眩晕回避率
"Bleed Avoidance",流血回避率
"Poison Avoidance",中毒回避率
"Taste for Blood",赤色之味
Tolerance,宽容
"Chance to Ignite, Freeze and Shock",点燃、感电、冻结几率
"Ailment Effect",异常状态效果
"Life and Energy Shield on Kill",击败敌人的生命和能量护盾
"Life and Mana on Hit",击中生命和魔力
"Dual Wield Attack and Cast Speed",双持攻击与攻击和施法速度
"Shield Spell Block",盾牌法术格挡
"Block Recovery and Energy Shield",格挡硬直回复和能量护盾
"Arcane Sanctuary",奥术圣所
"Attack Damage and Leech",攻击伤害和偷取
"Attack Damage and Speed",攻击伤害和速度
"Evasion and Blind Effect",闪避和致盲效果
"Blind Duration",致盲持续时间
"Maximum Fortification",最大防卫
"Season of Ice",寒冰之季
"Spell Suppression",法术压制
Inveterate,根深蒂固
"Merciless Skewering",无情穿刺
"Physical Damage as Extra Fire Damage",将物理伤害转为额外火焰伤害
"Critical Strikes against Blinded Enemies",对被致盲敌人的暴击率
"Armour per Endurance Charge",每个耐力球的护甲值
"Maximum Cold Resistance",最大冰霜抗性
"Maximum Fire Resistance",最大火焰抗性
"Prismatic Skin",虹光之肤
Courage,勇毅
"Mace Critical Strike Chance",锤类暴击率
"Spell Suppression and Life Flask Recovery",法术压制和生命药剂回复率
Entrench,牢固
"Bow Area of Effect",弓类效果区域
"Claw Critical Strike Multiplier",爪类暴击伤害加成
"Dagger Ailment Damage",匕首异常状态伤害
"Dagger Ailment Damage and Poison Chance",匕首异常状态伤害和中毒几率
"Dagger Critical Strike Chance",匕首暴击率
Wasting,浪费
"Shield Damage",盾牌伤害
"Spell Block",法术格挡
"Spell Block and Elemental Resistances",法术格挡和元素抗性
Safeguard,护卫
"Life on Hit",击中生命
"Life on Kill and Recoup",击中生命和回收
"Warrior Training",武士训练
"Staff Accuracy",长杖命中
"Life on Kill against Cursed Enemies",击败被诅咒的敌人获取生命
"Minion Area of Effect",召唤生物效果区域
"Link Mana Cost",羁绊魔力消耗
"Link Mana Cost and Cast Speed",羁绊魔力消耗和施法速度
"Inspiring Bond",同进同退
"Life Flasks and Flask Duration",生命药剂和药剂持续时间
"Field Medicine",战地医疗
"Mine Area of Effect",地雷效果区域
"Mine Damage and Reservation Efficiency",地雷伤害和保留效能
"Faster Ignite",快速点燃
"Powerful Bond",戮力同心
"Link Duration and Cast Speed",羁绊持续时间和施法速度
"Link Duration",连接持续时间
"Attack Ignite Chance",攻击点燃几率
"Burning Damage Multiplier with Attacks",攻击燃烧伤害加成
"Warcry Area of Effect",战吼效果区域
Unfaltering,稳步坚决
"Reservation Efficiency of Heralds",捷保留效能
"Spell Suppression and Energy Shield Recharge Rate",法术压制和能量护盾充能率
Instinct,本能
"Assured Strike",十拿九稳
"Impale Chance with Two Handed Weapons",双手武器穿刺几率
"Infused Flesh",血肉灌注
"Forking Angle",分裂角度
"Life Flask Charge Gain",生命药剂充能获取
"Mana Flask Charge Gain",生命药剂充能获取
"Replenishing Remedies",重装拯救
Acrimony,尖刻
"Reservation Efficiency of Curse Skills",诅咒技能的保留效能
"Mark Effect",印记效果
Hearty,热忱
"Curse Effect on You and Chaos Resistance",你身上的诅咒效果和混沌抗性
"Bastion Breaker",破壁者
"Accuracy Mastery",命中专精
"Armour and Energy Shield Mastery",护甲和能量护盾专精
"Attack Mastery",攻击专精
"Spell Suppression Mastery",范围法术压制专精
"Blind Mastery",致盲专精
"Leech Mastery",偷取专精
"Projectile Mastery",投射物专精
"Caster Mastery",施法专精
"Charge Mastery",充能专精
"Critical Mastery",暴击专精
"Link Mastery",连接专精
"Damage Over Time Mastery",持续伤害专精
"Dual Wielding Mastery",双持专精
"Block Mastery",格挡专精
"Elemental Mastery",元素专精
"Evasion and Energy Shield Mastery",闪避和能量护盾专精
"Armour and Evasion Mastery",护甲和闪避专精
"Physical Mastery",物理专精
"Minion Offence Mastery",召唤生物斗志专精
"Minion Defence Mastery",召唤生物防御专精
"Reservation Mastery",保留专精
"Trap Mastery",陷阱专精
"Attributes Mastery",属性专精
"Resistance and Ailment Protection Mastery",抗性和异常状态防护专精
"Heart of Darkness",黑暗之心
"Spiteful Presence",怨恨姿态
"Destructive Aspect",毁灭之相
"Electric Presence",电震姿态
"Volatile Presence",无常姿态
"Righteous Path",正义之路
"Mortifying Aspect",禁欲之相
"Frantic Aspect",狂乱之相
Introspection,内省
"Inevitable Doom",终焉必临
"Doedre's Spite",德瑞的怨恨
"Hound's Mark",猎犬面具
"Doedre's Gluttony",德瑞的饕餮
"Doedre's Apathy",德瑞的冷漠
"Master of the Maelstrom",大漩涡之主
"Aggressive Defence",以攻为守
"Minion Life",召唤物生命
"Minion Life and Chaos Resistance",召唤生物生命和混沌抗性
"Minion Damage",召唤生物伤害
"Lightning Critical Strike Multiplier",闪电暴击伤害加成
"Lightning Damage",闪电伤害
"Fire Damage",火焰伤害
"Cold Damage",冰霜伤害
"Bow Accuracy",弓的命中
Precision,精准
"Minion Instability",复仇之灵
Conduit,能量连接
Acrobatics,移形换影
"Iron Reflexes",霸体
"Resolute Technique",坚毅之心
"Unwavering Stance",烈士意志
"Chaos Inoculation",异灵之体
"Eldritch Battery",异能魔力
"Blood Magic",祭血术
"Pain Attunement",苦痛灵曲
"Elemental Equilibrium",元素之相
"Iron Grip",钢铁之握
"Point Blank",零点射击
"Arrow Dancing",箭矢闪跃
"Ancestral Bond",先祖魂约
"Ghost Reaver",灵能护体
"Vaal Pact",瓦尔冥约
"Zealot's Oath",狂热誓言
"Trap and Mine Damage",陷阱和地雷伤害
"Avatar of Fire",火之化身
"Mind Over Matter",心灵升华
Entropy,乱世
"Chaos Damage",混沌伤害
Corruption,腐化
"Defiled Forces",污秽大军
Pierce,投射物穿透
"Life Leech",生命偷取
"Mana Leech",魔力偷取
"Fortification Duration",强化持续时间
"High Voltage",高压
"Armour, Stun Threshold",护甲，晕眩阈值
Untiring,不知疲倦
"Far Shot",狙击
"Unholy Authority",邪恶君王
"Evasion and Energy Shield, Frenzy Charge Duration",闪避和能量护盾，狂乱冲锋持续时间
Polymath,博学者
"Evasion and Energy Shield, Movement Speed",闪避和能量护盾，移动速度
"Evasion and Energy Shield, Attack and Cast Speed",闪避和能量护盾，攻击和施法速度
Spellbreaker,破魔者
"Evasion and Energy Shield, Energy Shield Leech",闪避和能量护盾，能量盾偷取
"One Step Ahead",快人一步
"Evasion and Energy Shield, Damage",闪避和能量护盾，伤害
"Evasion and Energy Shield, Energy Shield Recharge",闪避和能量护盾，能量护盾充能
Necromancer,召唤师
"Soul Drinker",灵魂饮者
"Damage Over Time Multiplier",持续伤害加成
"Elemental Focus",元素集中
Overprepared,过度准备
"Elemental Overload",元素超载
"Perfect Agony",完美苦痛
"Crimson Dance",玫红之舞
Runebinder,符文绑定者
"Wicked Ward",恶毒结界
Farsight,远视
"Life and Mana on Kill against Cursed Enemies",击败被诅咒的敌人获取生命和魔力
"Last Rites",最后仪式
"Minion Critical Strike Chance",召唤生物暴击率
"Call to Arms",武装召唤
"Eternal Youth",青春永驻
"Glancing Blows",斗转星移
"Wind Dancer",风舞者
"The Agnostic",惘信者
"Supreme Ego",无上自我
"Imbalanced Guard",失衡卫士
"The Impaler",穿刺者
"Curse Mana Reservation Efficiency",诅咒魔力保留效率
"Malicious Intent",不善意图
"Physical Damage Over Time Multiplier",持续物理伤害加成
Magebane,法师克星
"Iron Will",钢铁意志
Solipsism,唯我独尊
"Ghost Dance",幽灵舞步
"Divine Shield",神威之盾
"Versatile Combatant",多面好手
"Lethe Shade",忘川之影
"Precise Technique",技艺精湛
"Bow Attack Speed and Phasing",弓类攻击速度和迷踪
"Curse Mana Cost",诅咒魔力消耗
"Hex Area of Effect",魔蛊效果区域
"Mana on Kill against Cursed Enemies",击败被诅咒的敌人获取魔力
"Steeped in the Profane",沉溺于亵渎
"Minion Critical Strike Multiplier",召唤生物暴击系数
"Feast of Flesh",血肉盛宴
"Trial of the Faith",信仰试炼
"Bow Attack Speed",弓类攻击速度
"Circle of Life",生命之环
"Dance of Blades",刃舞
"Link Effect",连接效果
"Stun Recovery",晕眩回复
"Life Gain on Hit",击中生命回复
"Excess Sustenance",营养过剩
"Stance Reservation Efficiency",姿态保留效率
"Glacial Cage",冰川牢笼
Perfectionist,完美之人
"Attack Damage in Blood Stance",血姿态的攻击伤害
"Attack Speed in Sand Stance",沙姿态的攻击速度
"Chill Effect",冰缓效果
"Seasoned Swordplay",熟练剑技
"Fortify on Melee Stun",近战击晕获得护体
"Link Cast Speed",连接施法速度
"Life Regeneration, Melee Damage",生命再生，近战伤害
"Master Distiller",蒸馏大师
"Armour and Energy Shield, Block Recovery",护甲和能量护盾，格挡回复
"Armour and Energy Shield, Link Effect",护甲和能量护盾，羁绊效果
"Area of Effect, Blind Effect",范围效果，致盲效果
"Area of Effect, Movement Speed",范围效果，移动速度
"Area of Effect, Elemental Resistances",范围效果，元素抗性
"Area of Effect, Mine Throwing Speed",范围效果，地雷投掷速度
"Like Clockwork",发条狂人
"Area of Effect, Trap Throwing Speed",范围效果，陷阱投掷速度
"Area of Effect, Area Damage",范围效果，范围伤害
"Righteous Fury",正义之怒
"Faster Ailments",异常状态加速生效
Multishot,多重射击
"Stun Threshold",晕眩阈值
"Chaos Resistance and Avoidance",混沌抗性和免疫
"Empowered Bond",强化纽带
"Expert Hunter",老练猎手
"Conjured Barrier",咒法屏障
"Surge of Vigour",活力之涌
"Brink of Death",生死边缘
"Winter's Embrace",凛冬之拥
"Potent Connections",强效连接
"Warcry Duration and Buff Effect",战吼持续时间和增益效果
"Flask Charges against Marked Enemy",对被标记敌人的药剂充能
"Mark Cast Speed and Mana Cost",标记施法速度和魔力消耗
"Mark Cast Speed",标记施法速度
"Mark Mana Cost",标记魔力消耗
"Relentless Pursuit",无尽追踪
"Curse and Chaos Resistance",诅咒和混沌抗性
"Ignite and Bleed Duration",点燃和流血持续时间
"Settling Ash",沉降灰烬
"Concussive Force",震荡之力
