"Cospri's Malice",卡斯普里怨恨
"Against the Darkness",抗衡黑暗
"The Remembered Tales",铭记的传说
"The Peacemaker's Draught",求和者的饮剂
"The Desperate Alliance",绝境同盟
"The Burden of Leadership",领袖的重负
"The Changing Seasons",季节变迁
Ingenuity,奇思妙想
Strugglescream,困苦尖啸
Skysliver,苍穹裂片
INCOMPLETE,未完成
"Splinter of Lorrata",罗瑞塔的破片
"Daevata's Wind",戴瓦塔的幻风
"Tyranny's Grip",暴政之握
Chainsting,缚链之针
"Demigod's Virtue",升华之美德
"The Hammer of Faith",信仰之锤
"The Road Warrior",征途之士
"Demigod's Duty",升华之职责
"Demigod's Loyalty",升华之忠诚
"Demigod's Valor",升华之神勇
"Demigod's Fortitude",升华之刚毅
"Demigod's Judgement",升华之审判
"Saitha's Spear",赛萨之矛
"Beira's Anguish",贝拉的苦楚
"The Fall of the Axe",落刃时刻
"The Grand Project",宏伟计划
Seastrider,跨海
"Silks of Veneration",敬奉之绸
Gloamgown,薄暮罩袍
"The Fallen Formation",溃灭之阵
Sacrosanctum,奉圣庇护所
"The Gnashing Sash",狂獠饰带
"Bursting Decay",腐朽迸发
"Death Articulated",死神铰链
"The Grand Design",宏伟设计
Windpiercer,破风之弦
"Double Vision",双生视界
"Rhoa Reaver",恐喙鸟收割者
"Black Vise",黑钳
"Leopold's Applause",利奥波德的赞许
"Valako's Vice",瓦拉库的离奇
"The Prisoner's Manacles",囚徒的镣铐
"Strike of Inspiration",灵光乍现
"The Lethal Draw",攫命
Murkshaft,沉郁之棍
"Tale of the Tempest",风暴的传说
"Spire of Ire",怨怒塔矛
Tangletongue,纠缠之舌
"Courtly Discord",宫廷乱事
"The Black Insignia",黑盗勋章
Cursecarver,刻咒
"Ngamahu's Chosen",努葛玛呼的亲选
"Breath of the Mountains",群山之息
"Valako's Roar",瓦拉克怒吼
"For Utopia",为了乌托邦
"Nascent Hope",新生希望
"Sanguis Heroum",英雄血液
"Arakaali's Gift",阿拉卡力的礼物
"The Black Cat",黑猫
"Forsaken Bangle",遗弃手镯
"Rite of Passage",仪式通道
Bijouborne,珠宝承载者
"Season of the Hunt",狩猎时节
"Cruel Hegemony",残酷霸权
"Freedom of Faith",信念的自由
"Forgotten By Time",时光的埋没
"Wraeclast Besieged",围困瓦尔克拉斯
"Clear Skies",万里晴空
"Visions of Paradise",乐园幻象
"The Last Lament",末后哀歌
"Cadiro's Gambit",卡迪罗的赌局
"Guiding Palm of the Eye",眼目之指引之掌
"Guiding Palm of the Mind",意念之指引之掌
"Adonia's Ego",阿多尼娅的自我
"Palm of the Dreamer",幻梦者之掌
"Undying Hate",不朽之恨
"Grip of Kulemak",库勒马克之握
"Heart of the Well",泉井之心
"Fairgraves' Curse",费尔的诅咒
"The Unborn Lich",未生巫妖
"Blood of the Warrior",战士之血
"Ynda's Stand",茵达的坚守
"The Queller of Minds",心灵的息灭
"The Selfish Shepherd",利己的牧者
"The Hateful Accuser",憎恨控诉
"The Light of Meaning",意义的光辉
"The Living Blade",活木之刃
"Admiral's Arrogance",提督的傲慢
"Tawhoa's Felling",塔赫亚的砍伐
"Serle's Masterwork",瑟蕾的杰作
"Sap of the Seasons",四季之侵
"Mightblood Ire",威血之怒
"Wildfire Phloem",野火韧皮
"The Battle Within",内心之争
"Grasping Nightshade",夺命龙葵
"Kaom's Command",冈姆的命令
"Eye of the Djinn",巨灵之目
"Lone Adventurer",独行冒险家
"Twist of Fate",扭转命运
"Wellspring of Creation",创造源泉
"Dance of Destruction",毁灭之舞
"Singular Focus",奇焦点
"Eldritch Gaze",古神凝视
"Wrath of the Cosmos",宇宙之怒
"Shadow Shaping",暗影塑形
"Extreme Archaeology",极限考古
"Crop Rotation",轮作
"Timeless Conflict",永战无休
"Unending Nightmare",无尽梦魇
"Immutable Dogma",恒常教条
"Arbitrary Tenets",专断信条
"Endless Tide",无尽之潮
"Speaker of the Dead",亡者代言人
"Cassia's Pride",卡西娅之傲
"Meticulous Appraiser",严谨鉴定师
"Lucid Dreams",清明梦
"Destructive Play",毁灭游戏
"Bold Undertakings",大胆尝试
"Gruelling Gauntlet",煎熬试炼
"Ruinous Wager",摧灭豪赌
"Thorough Exploration",全面探险
"Black Thumb",寸草不生
"Loved by the Sun",太阳恩泽
"Dimensional Barrier",维度壁垒
"Trade Embargo",贸易禁运
"Sealed Domain",封印领域
"Servant of Order",唯尊秩序
"Fungal Remission",菌体缓解
"Secular Focus",世俗焦点
"Straight and Narrow",中规中矩
"Ominous Silence",不祥寂静
"Smash and Grab",奇袭劫掠
"Crystallised Power",结晶之力
"Well Supplied",补给充足
"Perceived Greatness",感知的伟大
"Twisted Wish",扭曲的心愿
Starcaller,唤星
"Prospero's Protection",普洛斯彼罗的守护
"Enmity's Embrace",敌意的怀抱
Howlcrack,惊啸裂痕
Scornflux,蔑视之流
"Azadi Crest",阿扎迪纹章
"Binds of Bloody Vengeance",铁心复仇的束带
"Hand of Heresy",异端之手
"Bound By Destiny",命运的拘束
Spinehail,棘雹
"Squirming Terror",蠕动恐惧
"The Arkhon's Tools",首席院士的工具
"Mystic Refractor",神秘折射镜
"Betrayal's Sting",背叛邪刺
"Coiling Whisper",盘绕低语
"Venarius' Astrolabe",维纳留斯的星盘
"Servant of Decay",腐朽仆从
"Cadigan's Authority",卡迪甘的权威
"Legacy of the Rose",玫瑰遗产
"Seven Teachings",七大教义
"The Dark Monarch",黑暗君主
"Whispers of Infinity",无尽呢喃
"Bitter Instinct",苦涩本能
"The Unseen Hue",未现之彩
"Festering Resentment",积怨溃脓
"The Hallowed Monarch",圣洁君临
"Hand of the Lords",领主之手
"The Grey Wind",灰风
"The Will of Tul",托沃的意志
"The Will of Xoph",索伏的意志
"The Will of Esh",艾许的意志
"The Will of Uul-Netol",乌尔尼多的意志
"The Sundered Will",崩解意志
"Lost Unity",失落归一
"Wing of the Wyvern",飞龙之翼
"The Caged Mammoth",笼中猛犸
Bonemeld,骨融
"Refuge in Isolation",孤绝避难所
"The Golden Charlatan",金玉诈欺者
Woespike,灾厄棘刺
"Haunting Memories",萦绕往事
"The Monastery Bell",修道院钟声
"Rigwald's Hunt",瑞佛狩猎
"Jiquani's Potential",佳华尼的潜能
"Unlight Extant",暗光遗存
"Cowards' Wail",懦夫哀嚎
"Wellwater Phylactery",井水灵器
"Amor Mandragora",爱神曼陀罗
"Fury of the King",君王之怒
"Atziri's Contempt",阿兹里的蔑视
"Flesh Crucible",血肉玄炉
"Hysseg's Claw",西赛格之爪
"Lavianga's Spirits",拉维安加之灵
"The Flesh Poppet",血肉傀儡
"Unforeseen Consequences",无常因果
"Refiner's Bargain",炼师之契
"Khatal's Weeping",卡哈塔之哭
"Khatal's Geyser",卡哈塔之泉
"The Sands of Time",时之沙
"Screams of the Desiccated",枯萎尖叫
Skysunder,破天者
Fleshrender,裁肉者
"The Sacred Chalice",圣洁圣杯
"The Desecrated Chalice",亵渎圣杯
"Saresh's Darkness",萨瑞斯的黑暗
"Solerai's Radiance",索瑞的辉光
"The Flame of Hope",希望之火
"The Broken Elegy",破碎挽歌
"The Bane of Hope",希望之祸
"Replica Gifts from Above",神赐【仿品】
"The Bandit Lord's Band",匪首之环
