"The Anvil",信念之砧
Brynabas,布萊納巴斯
"Guiding Palm",引導之掌
"Morior Invictus",不敗亡者
Temporalis,時空之物
"Sekhema's Resolve",絲克瑪的決意
Beetlebite,甲蟲噬咬
"Beyond Reach",無法到達
"Heroic Tragedy",英勇悲劇
"From Nothing",從無到有
"Controlled Metamorphosis",受控的蛻變
"Prism of Belief",信仰棱鏡
"Against the Darkness",力抗黑暗
"The Remembered Tales",被銘記的故事
"The Peacemaker's Draught",和平使者藥水
"The Desperate Alliance",絕望的同盟
"The Burden of Leadership",領袖的重擔
"The Changing Seasons",流轉的季節
Ingenuity,獨創
Strugglescream,掙扎吶喊
Skysliver,天銀
INCOMPLETE,未完成
"Splinter of Loratta",蘿拉塔裂片
"Solar Lance",日耀長槍
Nighthowl,夜嚎
Goregirdle,血肉束腰
"Spirit Link",精魂連結
Silverpoint,銀點
Waistgate,腰閥
"Cat O' Nine Tails",九尾貓
"Victario's Study",維多里奧的研究
"Vigilant View",警戒之視
"Evergrasping Ring",永恆之握戒指
"Prized Pain",珍貴苦痛
"Circle of Protection",守護之環
"Garuk's Current",加魯克之流
Byrnabas,布萊納巴斯
"Guiding Palm of the Heart",引導之掌：心
"Splinter of Lorrata",蘿拉塔裂片
"Tyranny's Grip",暴政之握
Chainsting,鏈鎖之刺
"Demigod's Virtue",半神的美德
"The Hammer of Faith",信仰之錘
"The Road Warrior",無畏戰士
"Demigod's Duty",半神的職責
"Demigod's Loyalty",半神的忠誠
"Demigod's Valor",半神的英勇
"Demigod's Fortitude",半神的堅毅
"Demigod's Judgement",半神的決斷
"Saitha's Spear",賽塔的長矛
"Beira's Anguish",貝伊拉的悲痛
"The Fall of the Axe",斧頭之隕
"The Grand Project",偉大計劃
Seastrider,四海之翔
"Silks of Veneration",敬重絲綢
Gloamgown,暮光長袍
"The Fallen Formation",殞落之形
Sacrosanctum,神聖殿堂
"The Gnashing Sash",憤恨飾帶
"Bursting Decay",爆發腐蝕
"Death Articulated",死亡之聲
"The Grand Design",宏偉設計
Windpiercer,穿風者
"Double Vision",雙重視界
"Rhoa Reaver",恐喙鳥掠奪者
"Black Vise",黑鉗
"Leopold's Applause",里歐波德的掌聲
"Valako's Vice",瓦拉庫之惡
"The Prisoner's Manacles",囚犯的鐐銬
"Strike of Inspiration",啟發打擊
"The Lethal Draw",致命抽取
Murkshaft,陰暗通道
"Tale of the Tempest",暴雨傳說
"Spire of Ire",怒火之塔
Tangletongue,縛舌
"Courtly Discord",宮廷亂事
"The Black Insignia",漆黑徽章
Cursecarver,咒刻者
"Ngamahu's Chosen",努葛瑪呼之選
"Breath of the Mountains",山地之息
"Valako's Roar",瓦拉庫之吼
"For Utopia",為了烏托邦
"Nascent Hope",萌芽希望
"Sanguis Heroum",嗜血英雄
"Arakaali's Gift",艾爾卡莉的贈禮
"The Black Cat",黑貓
"Forsaken Bangle",遺落的手鐲
"Rite of Passage",儀式通道
Bijouborne,寶石之源
"Season of the Hunt",狩獵季節
"Cruel Hegemony",殘暴霸權
"Freedom of Faith",信仰的自由
"Forgotten By Time",時間之遺
"Wraeclast Besieged",被圍攻的瓦爾克拉斯
"Clear Skies",蒼空
"Visions of Paradise",天堂異象
"The Last Lament",臨終悲歌
"Cadiro's Gambit",卡迪羅的詭計
"Guiding Palm of the Eye",引導之掌：眼
"Guiding Palm of the Mind",引導之掌：靈
"Adonia's Ego",艾多尼亞的自負
"Palm of the Dreamer",幻夢者之掌
"Undying Hate",不朽恨意
"Grip of Kulemak",骷髏馬克的掌握
"Heart of the Well",水井之心
"Fairgraves' Curse",費爾的詛咒
"The Unborn Lich",未誕生的巫妖
"Blood of the Warrior",戰士之血
"Eye of the Djinn",巨靈之眼
"Lone Adventurer",孤獨冒險者
"Twist of Fate",命運的轉折
"Wellspring of Creation",創造之泉
"Dance of Destruction",毀滅之舞
"Singular Focus",單一焦點
"Eldritch Gaze",異能凝視
"Wrath of the Cosmos",宇宙之怒
"Shadow Shaping",陰影塑造
"Extreme Archaeology",極限考古學
"Crop Rotation",作物輪作
"Timeless Conflict",永恆鬥爭
"Unending Nightmare",無盡惡夢
"Immutable Dogma",不變教義
"Arbitrary Tenets",武斷原則
"Endless Tide",無盡潮汐
"Speaker of the Dead",死者之言
"Cassia's Pride",卡西亞的驕傲
"Meticulous Appraiser",細膩鑑定師
"Lucid Dreams",清醒夢境
"Destructive Play",毀滅遊戲
"Bold Undertakings",大膽行動
"Gruelling Gauntlet",困苦關卡
"Ruinous Wager",毀滅賭注
"Thorough Exploration",整體勘探
"Black Thumb",黑指
"Loved by the Sun",太陽寵愛
"Dimensional Barrier",次元壁壘
"Trade Embargo",貿易禁令
"Sealed Domain",領域封鎖
"Servant of Order",道德審查
"Fungal Remission",細菌解方
"Secular Focus",世俗目光
"Straight and Narrow",筆直窄道
"Ominous Silence",不祥的寂靜
"Smash and Grab",打砸搶
"Crystallised Power",晶化之力
"Well Supplied",補給充足
"Perceived Greatness",感知的偉大
"Twisted Wish",扭曲之願
"Wine of the Prophet",預言家之酒
Starcaller,喚星者
"Prospero's Protection",普洛斯彼羅的守護
"Enmity's Embrace",惡言之擁
Howlcrack,狂嗥之痕
Scornflux,蔑視之流
"Azadi Crest",愛札丁的榮冠
"Binds of Bloody Vengeance",血腥復仇的束縛
"Hand of Heresy",異端之手
"Bound By Destiny",被命運束縛
Spinehail,脊雹
"Squirming Terror",扭曲恐懼
"The Arkhon's Tools",執政官的工具
"Mystic Refractor",神秘的折射器
"Betrayal's Sting",反叛之針
"Coiling Whisper",盤繞細語
"Venarius' Astrolabe",維那利斯的星盤
"Servant of Decay",腐蝕使徒
"Cadigan's Authority",卡迪根的權威
"Legacy of the Rose",玫瑰的傳承
"Seven Teachings",七大教誨
"The Dark Monarch",黑暗君主
"Whispers of Infinity",無盡低語
"Bitter Instinct",苦澀直覺
"The Unseen Hue",無形之彩
"Festering Resentment",潰爛怨恨
"The Hallowed Monarch",受祈聖君
"Hand of the Lords",諸王之手
"The Grey Wind",灰風
"The Will of Tul",托沃之意志
"The Will of Xoph",索伏之意志
"The Will of Esh",艾許之意志
"The Will of Uul-Netol",烏爾尼托之意志
"The Sundered Will",破碎之志
"Lost Unity",失落同心
"Wing of the Wyvern",飛龍之翼
"The Caged Mammoth",囚籠猛獸
Bonemeld,骨融
"Refuge in Isolation",孤寂庇所
"The Golden Charlatan",黃金詐術師
Woespike,悲嘆之刺
"Haunting Memories",縈繞回憶
"The Monastery Bell",修道院之鐘
"Rigwald's Hunt",瑞佛之狩
"Jiquani's Potential",吉卡尼的潛力
"Unlight Extant",黯光存現
"Cowards' Wail",懦夫之哀
"Wellwater Phylactery",井泉魂罐
"Amor Mandragora",阿莫爾．曼德拉戈拉
"Fury of the King",帝王之怒
"Atziri's Contempt",阿茲里的蔑視
"Flesh Crucible",血肉坩堝
"Hysseg's Claw",希塞格之爪
"Lavianga's Spirits",拉維安加之泉
"The Flesh Poppet",血肉傀儡
"Unforeseen Consequences",始料未及的後果
"Refiner's Bargain",精煉廠的講價者
"Khatal's Weeping",卡塔爾之泣
"Khatal's Geyser",卡塔爾之泉
"The Sands of Time",時間之砂
"Screams of the Desiccated",塵燥之吼
Skysunder,墜天者
Fleshrender,血肉撕扯者
"The Sacred Chalice",神浸聖盃
"The Desecrated Chalice",瀆染髒盃
"Saresh's Darkness",薩雷許之闇
"Solerai's Radiance",索拉萊的輝耀
"The Flame of Hope",希望之焰
"The Broken Elegy",破碎輓歌
"The Bane of Hope",希望之終
"Replica Gifts from Above",贗品．神賜
