"Lava Lash",熔岩之力
"Peace Amidst Chaos",混沌中的平靜
Adrenaline,腎上腺素
"Wall of Muscle",肉璧
Mindfulness,謹慎
"Liquid Inspiration",液態啟發
Openness,開放
"Daring Ideas",大膽的想法
"Clarity of Purpose",明淨之志
"Scintillating Idea",靈光乍現
"Holistic Health",整體健康
Genius,天才
Improvisor,即興詩人
"Stubborn Student",頑固學生
"Savour the Moment",享受時光
"Energy From Naught",虛無淬能
"Will Shaper",意志雕塑
"Spring Back",彈回
"Conservation of Energy",節能
Self-Control,自制力
"Heart of Iron",鋼鐵之心
"Prismatic Carapace",多稜甲殼
Militarism,軍國主義
"Second Skin",換皮
"Dragon Hunter",獵龍幻士
"Enduring Composure",耐久鎮靜
Uncompromising,永不妥協
"Prismatic Dance",多稜舞蹈
"Natural Vigour",自然活力
Untouchable,無法觸碰
"Shifting Shadow",替換陰影
Readiness,準備就緒
"Sublime Form",昇華之型
"Confident Combatant",自信戰士
"Flexible Sentry",機動哨兵
"Vicious Guard",惡毒護衛
"Mystical Ward",魔幻守衛
"Rote Reinforcement",加強記憶
"Mage Hunter",魔術獵手
"Riot Queller",暴動殺手
"One with the Shield",持盾者
Aerialist,高空特技
"Elegant Form",高雅之姿
"Darting Movements",猛突位移
"No Witnesses",無目擊者
"Molten One's Mark",熔火之印
"Fire Attunement",火焰曲調
"Pure Might",純粹之力
Blacksmith,鐵匠
Non-Flammable,非易燃
"Winter Prowler",冬季竊賊
Hibernator,冬眠
"Pure Guile",純粹詭計
Alchemist,鍊金術師
Antifreeze,抗凍
Wizardry,巫術
Capacitor,容器
"Pure Aptitude",純粹才能
Sage,哲人
Insulated,絕緣
"Born of Chaos",混沌之誕
Antivenom,抗毒
Rot-Resistant,抗鏽
Blessed,祝福
"Student of Decay",腐朽之徒
"Medium Jewel Socket",中型珠寶插槽
"Small Jewel Socket",小型珠寶插槽
"Position Proxy",位置取代
"Trial of the Faith",信仰試煉
"Stance Skill Cooldown Recovery",姿態技能冷卻恢復
"Bow Attack Speed",弓的攻擊速度
"Circle of Life",生命循環
"Dance of Blades",劍舞
"Link Effect",連結效果
"Stun Recovery",暈眩恢復
"Life Gain on Hit",擊中生命回復
"Excess Sustenance",營養過剩
"Stance Reservation Efficiency",姿態保留效用
"Glacial Cage",冰牢
Perfectionist,完美主義者
"Attack Damage in Blood Stance",血腥姿態攻擊傷害
"Attack Speed in Sand Stance",沙戮姿態攻擊速度
"Chill Effect",冰緩效果
"Seasoned Swordplay",劍術精通
"Fortify on Melee Stun",近戰暈眩時護體
"Link Cast Speed",連結施放速度
"Master Distiller",精釀大師
"Area of Effect, Blind Effect",範圍效果、致盲效果
"Area of Effect, Movement Speed",範圍效果、移動速度
"Area of Effect, Elemental Resistances",範圍效果、元素抗性
"Area of Effect, Mine Throwing Speed",範圍效果、地雷投擲速度
"Like Clockwork",規律化
"Area of Effect, Trap Throwing Speed",範圍效果、陷阱投擲速度
"Area of Effect, Area Damage",範圍效果、範圍傷害
"Righteous Fury",正義怒火
Multishot,多重射擊
"Stun Threshold",暈眩門檻
Escalation,進階
"Chaos Resistance and Avoidance",混沌抗性和避免
"Empowered Bond",賦予之絆
"Expert Hunter",獵人專家
"Avoid Interruption while Casting",施放時避免阻礙
"Conjured Barrier",召喚屏障
"Surge of Vigour",活力之湧
"Brink of Death",死亡邊緣
"Winter's Embrace",寒冬之擁
"Potent Connections",強大聯繫
"Warcry Duration and Buff Effect",戰吼持續時間和增益效果
"Warcry Duration",戰吼持續時間
"Flask Charges against Marked Enemy",對印記的敵人藥劑充能
"Mark Cast Speed and Mana Cost",印記施放速度和魔力消耗
"Mark Cast Speed",印記施放速度
"Mark Mana Cost",印記魔力消耗
"Relentless Pursuit",努力不懈
"Curse and Chaos Resistance",詛咒和混沌抗性
"Stun Mastery",暈眩專精
"Recovery Mastery",恢復專精
"Protection Mastery",保護專精
"Life Regeneration, Melee Damage",生命回復、近戰傷害
"Armour and Energy Shield, Block Recovery",護甲和能量護盾、格擋恢復
"Armour and Energy Shield, Link Effect",護甲和能量護盾、連結效果
"Faster Ailments",加速異常狀態
"Ignite and Bleed Duration",點燃和流血持續時間
"Settling Ash",沉澱灰燼
"Concussive Force",震爆之力
"Invigorating Blaze",振奮之焰
Cauterisation,燒灼
"Warden of the Maji",聖賢守護者
"Coated Blade",塗層刀刃
"Nature's Concoction",自然調劑
"Intensifying Suffusion",強化瀰漫
"Wildwood Blessing",荒林祝福
"Lesson of the Seasons",學習季節
"Oath of the Maji",聖賢之誓
"Detect Evil",邪靈探測
"Vivid Wisps found",掉落靈現妖精
"Warlock of the Mists",嵐之術士
Sanguimancy,占血術
"Crimson Power",緋紅之力
"Cannibalised Faith",食人族信仰
"Soul Splitting",靈魂撕裂
"Creeping Lobotomy",前額葉切除術
"Choir of the Damned",惡魔樂團
"Black Mass",黑暗彌撒
"Warlock Power",術士之力
"Foul Pact",邪惡契約
"Blood Hunt",鮮血獵捕
"Wild Wisps found",掉落野性妖精
"Wildwood Primalist",荒野始者
"Might of the Bear",熊之志
"Charm Socket",咒語插槽
"Howl of the Wolf",狼之嚎
"Primal Wisps found",掉落原始妖精
"Warlord's Call",督軍的呼喚
"Mana and Increased Mana Cost",魔力和增加魔力消耗
"Totem Life and Damage",圖騰生命和傷害
"Physical Damage and Ignore Physical Damage Reduction",物理傷害和無視物理傷害減免
"Life Leech Speed",生命偷取速度
"Mana Leech Speed",魔力偷取速度
"Rage on Hit",擊中時獲得盛怒
"Slower Rage Decay",減緩盛怒衰退
"Battle Trance",戰鬥冥想
"Maximum Rage and Armour",最大盛怒和護甲
"Slower Rage Decay and Armour",較慢的盛怒衰退和護甲
Vengeance,復仇
"Savage Intensity",野性強化
"Maximum Rage",最大盛怒
"Veteran's Wrath",老兵的暴怒
"Armour, Chaos Resistance",護甲、混沌抗性
"Physical Damage, Rage on Hit",物理傷害、擊中獲得盛怒機率
"Life Regeneration, Warcry Duration",生命回復、戰吼持續時間
"Sione, Sun's Roar",烈日怒吼．西奧妮
"Evasion, Chance to Freeze",閃避值、冰凍機率
"Oath of Spring",新春誓言
"Evasion, Chance to Shock",閃避值、感電機率
"Oath of Winter",凜冬誓言
"Evasion, Spell Suppression",閃避值、法術壓抑
"Mother's Teachings",母親的教誨
"Evasion, Chance to Ignite",閃避值、點燃機率
"Oath of Summer",炎夏誓言
"Evasion, Elemental Ailment Duration",閃避、元素異常狀態持續時間
"Avatar of the Wilds",獸性化身
"Evasion, Tincture Effect",閃避、萃取物效果
"Experienced Herbalist",經驗豐富的藥草師
"Enduring Suffusion",耐久瀰漫
Avidity,貪慾
"Attack Speed, Bleed Chance",攻擊速度、流血機率
"Jagged Technique",鋸齒技法
"Weapon Master",武器大師
"Determined Survivor",堅定的倖存者
"Measured Retaliation",精準復仇
"More Than Skill",技能不止
"Attack Speed, Attack Damage",攻擊速度、攻擊傷害
"War of Attrition",消耗戰
Warden,守護者
"Attack Mana Cost",攻擊魔力消耗
"Staff Spell Block",長杖法術格擋
"Spell Area of Effect",法術範圍效果
"Melee Area of Effect",近戰範圍效果
"Totem Attack Speed",圖騰攻擊速度
"Wild Hunger",野性渴望
"Awe and Terror",敬畏與恐懼
"Rallying Icon",團結象徵
"Defiant Stand",反抗立場
"Renowned Deeds",著名事蹟
"Banner Area of Effect",鬥旗範圍效果
"Banner Duration",鬥旗持續時間
"Banner Valour Gained",獲得的鬥旗勇氣
"Banner Maximum Valour and Duration",鬥旗最大勇氣和持續時間
"Banner Maximum Valour",鬥旗最大勇氣
"Banner Aura Effect",光環效果．鬥旗
"Wicked Blade",殘靈刀刃
"Bleed Duration",流血持續時間
"Master of Wounds",創傷大師
"Impale Chance and Attack Speed",穿刺機率和攻擊速度
"Brutal Skewering",殘酷串燒
"Leader of the Pack",群體領袖
"Thrill of Battle",戰鬥亢奮
"Spirit of War",戰爭之靈
"Slower Mana Burn",魔力灼燒減速
"Tincture Effect",萃取物效果
"Practised Reapplication",熟以致用
"Colloidal Mixture",膠體混合物
"Perfected Formula",完美配方
"Dual Wield Attack Speed and Block",雙持攻擊速度和格擋
"Feline Swiftness",貓族迅捷
"As The Mountain",宛如神山
"Block and Armour",格擋與護甲
"Block and Block Recovery",格擋與格擋恢復
"Wall of Steel",鋼鐵之壁
"As The Thunder",宛如雷鳴
"Savage Skewering",野蠻穿刺
"Nomadic Teachings",浪人教誨
"Bleed and Critical Strike Chance",流血與暴擊率
"Aggravate Bleeding On Critical Strike Chance",暴擊率加劇流血
"Cornered Prey",甕中之鱉
"Tincture Mana on Kill",擊殺回復萃取物魔力
"Burst of Energy",能量爆發
"Flask and Tincture Effect",藥劑與萃取物效果
"Flask Duration",藥劑持續時間
"Roaring Challenge",咆哮挑戰
"Two Handed Melee Damage and Ignore Physical Damage Reduction",雙手武器近戰傷害和無視物理傷害減免
"Banner Mastery",鬥旗專精
"Rage Mastery",盛怒專精
"Tincture Mastery",萃取物專精
"Vinespike Cordial",荊刺之誠
"Selective Precision",細選精準
"Legacy of the Wilds",荒野的傳承
"Hollow Effigy",空洞雕像
"Force of Darkness",黑暗之力
"Lasting Tempest",恆久風暴
"Adaptive Steel",適性之鋼
"Always Angry",保持憤怒
"Sione's Ambition",西奧妮的野心
"Bastion of Faith",信心堡壘
"Beacon of Hope",希望信標
"Wood, Stone, and Spell",木頭、石頭和法術
"Jagged Wounds",鋸齒重創
"No Forgiveness",絕不饒恕
"Deliberate Brutality",蓄意殘虐
"Knowledge Barrier",知識屏障
Incorporeal,無形之靈
"Mixed Munitions",混合彈藥
"Worship the Blightheart",崇拜凋落之心
"Unrestrained Focus",率性專注
"Careful Counterattack",謹慎反擊
"Prepared Response",預備反應
"Flow of Battle",戰鬥節奏
"Cruel Retort",殘酷反駁
"Indiscriminate Revenge",無差別報復
"Crushing Reply",粉碎回應
"Retaliation Skill Damage and Shield Block",復仇技能傷害與盾牌格擋
"Retaliation Skill Damage",復仇技能傷害
"Retaliation Skill Speed and Shield Spell Block",復仇技能速度與盾牌法術格擋
"Retaliation Mastery",復仇專精
"Retaliation Skill Usable Duration",復仇技能可使用持續時間
"Retaliation Skill Cooldown Recovery",復仇技能冷卻恢復
"Retaliation Skill Speed",復仇技能速度
"Retaliation Skill Area Of Effect",復仇技能範圍
"Retaliation Skill Stun Duration",復仇技能暈眩持續時間
"Retaliation Skill Damage and Stun Threshold",復仇技能傷害與暈眩門檻
"Arsenal of Vengeance",復仇兵工廠
"Seasoned Hunter",老練獵人
"Bloodsoaked Blade",浸血之刃
Attribute,能力
"Strength and Reduced Mana",力量與減少魔力
"Brute Strength",殘忍力量
Ingenuity,獨創
"All Attributes",全部能力值
Polymathy,博學的
"Reduced Attribute Requirements",減少能力值需求
"Jack of all Trades",萬事通
"Quarterstaff Stun and Knockback",細杖：暈眩和擊退
"Quarterstaff Freeze and Daze Buildup",細杖冰凍和目眩累積
"Quarterstaff Speed",細杖：速度
"Whirling Assault",迴旋擊
"Quarterstaff Critical Chance",細杖：暴擊率
"One with the Storm",與風同行
"Quarterstaff Critical Damage",細杖：暴擊傷害
"Martial Artistry",武藝之相
"Dagger Speed",匕首：速度
"Dagger Critical Chance",匕首：暴擊率
"Silent Shiv",寂靜小刀
"Dagger Critical Damage",匕首：暴擊傷害
"Coated Knife",塗層匕首
"Trap Throw Speed",陷阱：投擲速度
"Trap Critical Chance",陷阱：暴擊率
"Devestating Devices",破壞裝置
"Bow Critical Damage",弓類：暴擊傷害
"Bow Accuracy Rating",弓類：命中值
"Feathered Fletching",羽毛箭羽
Sniper,狙擊手
"Bow Speed",弓類：速度
"Pierce the Heart",一箭穿心
"Spear Damage",長矛：傷害
Javelin,長矛：傷害核心
"Spear Attack Speed",長矛：攻擊速度
"Swift Skewering",迅猛穿刺
"Spear Critical Chance",長矛：暴擊率
"Precise Point",精準攻擊
"Roll and Strike",翻滾突擊
"Block and Damage Taken from Blocked Hits",格擋及承受自被格擋攻擊的傷害
"Shield Evasion",護盾閃避值
Reprisal,反擊
"Heavy Blade",沉重之刃
"Sword Speed",劍類：速度
"Ripping Blade",撕裂之刃
"Stance Breaker",姿態破壞者
"Lay Siege",圍城
"Shield Block",盾牌：格擋
"Greatest Defence",極致防禦
"Wide Barrier",盾牌：格擋核心
"Core of the Guardian",守護者核心
"Shield Damage from Shield Defences",盾牌：盾牌防禦傷害
"Offensive Stance",攻擊架勢
Vigilance,警覺
"Shield Attack Speed",盾牌：攻擊速度
"Defensive Reflexes",防禦反應
"Crossbow Damage",十字弓傷害
"Crossbow Critical Chance",十字弓：暴擊率
"Power Shots",強擊矢
"Grenade Damage",擲彈傷害
"Repeating Explosives",連續爆炸
"Crossbow Reload Speed",十字弓裝填速度
"Instant Reload",立即裝填
"Reusable Ammunition",可重複使用的彈藥
"Full Salvo",全面齊射
"Axe Rage on Hit",斧擊中盛怒
"Axe Attack Speed",斧攻擊速度
"Whirling Onslaught",迴旋猛攻
"Enraged Reaver",狂怒掠奪者
"Mace Stun Buildup",錘暈眩累積
Skullcrusher,碎顱者
"Mace Damage and Stun Buildup",錘的傷害和暈眩累積
"Mace Aftershock Chance",錘餘震機率
"Split the Earth",劈裂大地
"Flail Damage",鏈錘：傷害
"Ball and Chain",球與鎖鏈
"Flail Critical Chance",鏈錘：暴擊率
"Morning Star",晨星
"Rattling Ball",響動巨球
"Spiked Whip",尖刺鞭笞
"Focus Energy Shield",法器能量護盾
"Curse Effect on Self",自身詛咒效果
"Warding Fetish",守護神器
"Spell Damage on full Energy Shield",能量護盾全滿時的法術傷害
Dreamcatcher,捕夢者
"One Handed Attack Speed",單手武器攻擊速度
"Versatile Arms",萬能雙手
"One Handed Accuracy",單手武器命中
"One Handed Critical Chance",單手武器：暴擊率
"Push the Advantage",乘勝追擊
Impair,損害
"One Handed Ailment Chance",單手異常狀態機率
"Coated Arms",塗層武器
"Two Handed Damage",雙手武器：傷害
"Singular Purpose",目標明確
"Two Handed Damage and Stun",雙手武器傷害和暈眩
"Heavy Contact",激烈碰撞
"Colossal Weapon",巨無霸武器
"Curved Weapon",彎曲武器
Shockwaves,震波
"Dual Wielding Damage",雙持武器：傷害
"Dual Wielding Accuracy",雙持武器：命中
"Cross Strike",十字打擊
"Dual Wielding Speed",雙持武器：速度
"Blade Flurry",刀鋒亂舞
"Polished Iron",拋光之鋼
Heatproofing,火焰隔絕
"Projectile Bulwark",投射物屏障
"Blade Catcher",捕刃者
"Heavy Armour",沉重鎧甲
"Made to Last",經久耐用
"Sturdy Metal",堅固金屬
"Impenetrable Shell",無敵甲殼
"General's Bindings",將軍的束縛
"High Alert",高度警戒
"Escape Strategy",逃逸策略
"Careful Consideration",小心翼翼
"Escape Velocity",逃逸速度
"Enhanced Reflexes",強化反應
"Beastial Skin",野獸皮膚
Afterimage,殘像
"Leather Bound Gauntlets",皮革綁縛護手
"Catlike Agility",靈貓狡捷
"Stun Threshold from Energy Shield",能量護盾的暈眩門檻
"Energy Shield Recharge",能量護盾充能
Calibration,校準
"Patient Barrier",堅忍屏障
"Enhanced Barrier",強化屏障
"Dampening Shield",抑制護盾
"Heavy Buffer",重裝緩衝
"Illuminated Crown",明光之冠
"Strong Chin",強力下顎
"Backup Plan",備案
"Insulated Treads",絕緣步伐
"Feel no Pain",不痛不癢
"Evasion and Energy Shield Recharge",閃避和能量護盾充能
"Spectral Ward",光譜守護
"Inner Faith",內在信仰
"Shadow Dancing",影之舞
Immaterial,無形
Shimmering,閃閃發光
"Subterfuge Mask",詭計面具
"Mindful Awareness",謹慎意識
"Ancient Aegis",遠古神盾
"Adamant Recovery",堅韌恢復
"Reinforced Barrier",加強屏障
"Spiral into Depression",絕望漩渦
"Unnatural Resilience",超然韌性
"Prism Guard",稜鏡守護
"Slow Effect on You",你身上的緩速效果
"Ailment Threshold",異常狀態門檻
Unhindered,暢通無阻
"Natural Immunity",自然免疫
"Warm the Heart",暖心
"Feel the Earth",感受大地
"Shedding Skin",換皮
"Energy Shield Delay",能量護盾延遲
"Mystic Stance",秘言姿態
"Quick Response",迅速反應
"Rapid Recharge",快速充能
"Covering Ward",防掩護盾
Refocus,重新專注
"Dependable Ward",穩固護盾
Convalescence,恢復期
"Energy Shield Recharge and Mana Flask Recovery",能量護盾充能與魔力藥劑回復
"Arcane Mixtures",秘能混合物
"Block and Shield Defences",格擋和盾牌防禦
"Unstoppable Barrier",無阻屏障
"Hunker Down",蹲守
"Towering Shield",高聳之盾
"Defender's Resolve",防衛者決意
"Parrying Motion",招架動作
"Spiked Shield",尖刺盾牌
"Shield Expertise",盾牌專精
"Block Recovery",格擋恢復
"Smooth Buckler",光滑圓盾
"Flashy Deflection",瞬間偏斜
Resolution,決意
"Titan's Determination",泰坦決意
Unbreaking,堅不可摧
"Stun Threshold and Strength",暈眩門檻和力量
"Hefty Unit",重型單位
Unbending,永不屈服
"Austerity Measures",緊縮
Asceticism,禁慾主義
"Self Mortification",自我苦行
Hallowed,聖潔
"Eldritch Will",異能之志
"Stun Threshold if not Stunned recently",近期沒有暈眩的暈眩門檻
"Stun Threshold if no recent stun",近期沒有暈眩的暈眩門檻
"Briny Carapace",鹹水甲殼
"Deft Recovery",恢復靈巧
"Back in Action",重返戰鬥
"Ignite Effect on You",你身上的點燃效果
Fireproof,防火
"Freeze and Chill Resistance",冰凍和冰緩抗性
"Slippery Ice",滑冰
Icebreaker,破冰者
"Electrocute Buildup",觸電累積
Electrocution,觸電
"Coursing Energy",奔流能量
"Mass Rejuvenation",巨量恢復
"Life Regeneration on Low Life",貧血時的生命回復
"Desperate Times",絕望時刻
"Life Regeneration while Stationary",靜止不動時的生命回復
"Resilient Soul",堅韌之魂
"Thickened Arteries",動脈增厚
"Hard to Kill",不易死亡
"Hale Heart",心心向榮
"Stand Ground",穩住陣腳
"Life Leech. Armour and Evasion while Leeching",生命偷取。偷取時的護甲和閃避
"Life Leech and Slower Leech",生命偷取和偷取速度減慢
"Fortifying Blood",堅韌之血
Voracious,貪婪
Bloodthirsty,嗜血的
Goring,刺穿
"Savoured Blood",鮮味之血
"Fast Metabolism",快速代謝
"Life Leech and Physical Damage",生命偷取和物理傷害
"Loose Flesh",鬆散肌肉
"Taut Flesh",繃緊肌肉
"Heart Tissue",心臟疾病
"Pliable Flesh",可塑肉體
"Glazed Flesh",琉璃血肉
"Life on Kill",擊殺時回復生命
"Immortal Infamy",不朽惡名
"Life Flasks",生命藥劑
Refills,補滿
"Hale Traveller",健壯旅人
Reinvigoration,重新振作
"Life Flask Charges",生命藥劑充能
"Life Flask Charge Generation",生命藥劑使用次數充能
Staunching,止血
"Life Flask Recovery",生命藥劑恢復
Succour,救援
"Heavy Drinker",重度飲用者
"Potent Concoctions",強效藥劑
"Efficient Alchemy",高效鍊金術
"Flask and Charm Charges Gained",藥劑與護符充能獲取
"Lasting Concoctions",持久藥劑
"Flask Recovery",藥劑回復
Savouring,品味
"Life and Mana Flask Recovery",生命與魔力藥劑回復
"Combat Alchemy",戰鬥煉金術
"Cautious Concoctions",謹慎調製物
"Critical Chance",暴擊率
"Crashing Wave",震波
"Critical Damage",暴擊傷害
"Damage on Critical",暴擊時傷害
"Cruel Fate",殘酷命運
"Leaping Ambush",跳躍伏擊
"Direct Approach",直球進攻
"For the Jugular",頸中之刺
"Critical Exploit",弱點善用
"Spell Critical Damage",法術暴擊傷害
"Moment of Truth",真相揭曉
"Preemptive Strike",先發制人
Desensitisation,暴擊傷害核心
Cooked,熟透
"Deadly Force",致命武力
Sundering,崩裂
Heartstopping,心寒
Heartbreaking,裂心
"Struck Through",擊穿防禦
"Attack Critical Damage",攻擊暴擊傷害
"Attack Critical Chance",攻擊暴擊率
"Critical Stun Buildup",暈眩累積
"Overwhelming Strike",鎮壓打擊
"Critical Chance and Reduced Mana",暴擊率與減少魔力
"Critical Damage and Increased Mana Cost",暴擊傷害與增加魔力消耗
"Vulgar Methods",卑鄙手段
"Barbaric Strength",野蠻力量
"Tainted Strike",汙染打擊
"Dispatch Foes",抹殺敵人
"Careful Assassin",謹慎的刺客
"Attack Speed and Flask Duration",攻擊速度和藥劑持續時間
"Blurred Motion",無影行蹤
"Skill Speed",技能速度
"Tenfold Attacks",十重打擊
Stimulants,興奮劑
Reaving,掠奪
"Mass Hysteria",群體癲狂
"Falcon Technique",獵鷹技法
"Sand in the Eyes",飛沙入眼
"Deep Trance",深度恍惚
"Flow State",戰鬥節奏
"Blinding Flash",致盲閃光
"Blood Rush",鮮血狂襲
"Final Barrage",終極彈幕
"Casting Cascade",連續施法
Effervescent,奔放
Overzealous,過度狂熱
"Spiral into Mania",狂熱漩渦
"Spell Haste",法術迅捷
"Practiced Signs",熟練符印
Erraticism,反覆無常
"Mental Alacrity",心靈迅捷
"Stun Buildup",暈眩累積
"Hulking Smash",巨力猛擊
Titanic,泰坦
"Cranial Impact",顱骨衝擊
"Perfect Opportunity",絕佳機會
"Shattering Blow",粉碎強擊
"Flip the Script",扭轉局勢
"Rage when Hit",遭敵人擊中時，獲得盛怒
"Ignore Pain",無視疼痛
"Prolonged Fury",經久之怒
Unforgiving,嚴苛
"Vengeful Fury",復仇之怒
"Sudden Infuriation",突發暴怒
"Bleeding Duration",流血持續時間
"Critical Bleeding Effect",暴擊流血效果
"Bleeding Chance",流血機率
"Deep Wounds",深層創傷
"Bleeding Chance on Critical",暴擊的流血機率
"Attack Damage vs Bleeding Enemies",對流血敵人的攻擊傷害
"Perfectly Placed Knife",精準匕首
Aggravation,加劇
"Bleeding Damage",流血傷害
"Bleeding Out",出血致死
Immolation,焚化
"Slow Burn",緩慢燃燒
"Ignite Effect",點燃效果
Firestarter,縱火者
Burnout,燃盡
"Freeze Buildup",冰凍累積
"Inescapable Cold",不可逃脫之凍寒
Shattering,粉碎
"Chill Effect and Duration",冰緩效果和持續時間
"Chill and Freeze Duration",冰緩和冰凍持續時間
"Chilled to the Bone",徹骨
"Perpetual Freeze",永恆冰凍
"Lightning Skill Chain Chance",閃電技能連鎖機率
"Shock Effect",感電效果
"Branching Bolts",分叉弩箭
Frazzled,力盡
"General Electric",通用電
Drenched,濕透
"Shock Duration",感電持續時間
Rattled,驚慌失措
"Harmonic Generator",和諧發電
"Poison Damage",中毒傷害
"Poison Duration",中毒持續時間
"Escalating Toxins",遞增毒素
"Building Toxins",蓄積毒素
"Crippling Toxins",致殘毒素
"Leeching Toxins",偷取毒素
"Lasting Toxins",持久毒素
"Stacking Toxins",疊加毒素
"Evasion if Consumed Frenzy Charge",消耗狂怒球的閃避值
"Recover Life on consuming Endurance Charge",消耗耐力球時恢復生命
Guts,膽量
Grit,毅力
"Armour if Consumed Endurance Charge",消耗耐力球時獲得護甲
"Critical Damage when consuming a Power Charge",消耗暴擊球時的暴擊傷害
"Lust for Power",渴求力量
"Overflowing Power",力量滿溢
"The Power Within",內在力量
"Energy Shield if Consumed Power Charge",消耗暴擊球的能量護盾
"Empowered Attack Damage and Bleeding Chance",強化攻擊傷害與流血機率
"Warcry Cooldown",戰吼冷卻時間
"Empowered Attack Damage",強化攻擊傷害
"Warcry Damage",戰吼傷害
Cacophony,不諧之音
"Vocal Empowerment",聲音賦予
"Warcry Cooldown Speed",戰吼冷卻速度
"Internal Bleeding",內出血
Bravado,雙刃之力
"Deafening Cries",震耳吶喊
"Guttural Roar",喉鳴咆哮
"Bolstering Yell",壯膽咆哮
"Warcry Cooldown and Speed",戰吼冷卻和速度
"Urgent Call",緊急呼喚
"Curse Activation Speed and Effect",詛咒啟動速度與效果
"Impending Doom",末日厄運
"Zone of Control",區域控制
"Curse Area",詛咒範圍
"Master of Hexes",詛咒大師
"Fated End",命運終結
"Lingering Whispers",殘留低語
"Totem Damage",圖騰傷害
"Supportive Ancestors",祖靈之援
"Carved Earth",鑿刻大地
"Totem Placement Speed",圖騰放置速度
"Totem Life",圖騰生命
"Ancestral Artifice",先祖詭計
"Ancestral Unity",先祖同心
"Hardened Wood",硬化樹木
"Spirit Bond",靈魂連結
"Ancestral Alacrity",先祖迅捷
"Totem Cast Speed",圖騰施放速度
"Ancestral Conduits",祖靈導體
"Ancestral Mending",先祖治癒
"Totem Elemental Resistance",圖騰元素抗性
"Totem Physical Damage Reduction",圖騰物理傷害減免
"Minion Area",召喚物範圍
"Deadly Swarm",致命群襲
"Lord of Horrors",恐懼領主
"Fear of Death",死亡恐懼
"Dead can Dance",亡者之舞
"Relentless Fallen",無情殞落者
"Right Hand of Darkness",暗黑右手
"Minion Critical Chance",召喚物暴擊率
"Grip of Evil",惡靈之握
"Necrotic Touch",亡者之觸
"Minion Critical Damage",召喚物暴擊傷害
"Restless Dead",殞落狂熱
"Growing Swarm",人海戰術
Gravedigger,掘墓者
"Minion Resistances",召喚物抗性
"Minion Revive Speed",召喚物復甦速度
"Minion Fire Resistance",召喚物火焰抗性
"Necrotised Flesh",亡者之軀
"Left Hand of Darkness",黑暗左手
"Minion Defences",召喚物防禦
"Crystalline Flesh",結晶血肉
Fleshcrafting,血肉塑造
"Minion Lightning Resistance",召喚物閃電抗性
"Minion Physical Damage Reduction",召喚物物理傷害減免
"Minion Cold Resistance",召喚物冰冷抗性
"Vile Mending",惡毒療癒
"Regenerative Flesh",再生血肉
"Living Death",行屍走肉
"Entropic Incarnation",熵熱化身
"Unleash Seal Generation",釋放封印產生
"Additional Spell Projectiles",額外法術投射物
Anticipation,法術
"Lasting Incantations",持久咒語
"Potent Incantation",強力咒語
Spellblade,魔刃
"Melee Critical Chance",近戰暴擊率
"Rapid Strike",迅捷打擊
"Serrated Edges",鋸齒刀鋒
"Personal Touch",個人風格
"In Your Face",面部攻擊
Viciousness,狠毒
"Unerring Impact",精準衝擊
"Heavy Weaponry",重裝武器
"Reaching Strike",延伸打擊
"Deadly Flourish",致命華舞
Initiative,先機
"Breaking Blows",粉碎之擊
Honourless,毫無榮譽
"Melee Damage against Immobilised",對禁錮敵人的近戰傷害
Smash,砸碎
"Attack Damage and Movement Speed",攻擊傷害和移動速度
"Attack Damage and Slow Effect",攻擊傷害和緩速效果
"Maiming Strike",癱瘓打擊
"Attack Damage and Skill Duration",攻擊傷害和技能持續時間
"Prolonged Assault",持久攻擊
"Blinding Strike",致盲打擊
"Attack Damage with nearby Ally",與附近友方的攻擊傷害
"Killer Instinct",殺手本能
"Attack Damage and Accuracy",攻擊傷害和命中
"Presence Present",氣場四散
"Unexpected Finesse",出奇靈巧
"Forking Projectiles",分岔投射物
"Chaining Projectiles",連鎖投射物
"Pierce Chance",穿透機率
"Projectile Speed",投射物速度
"Attack Area",攻擊範圍
"Projectile Pierce",投射物穿透
"Kite Runner",風箏高手
"Careful Aim",細心瞄準
"Heavy Ammunition",重磅彈藥
"Piercing Shot",穿射箭矢
Catapult,投石車
"Short Shot",短距離射擊
"Close Confines",狹小界限
Shrapnel,彈片
"Advanced Munitions",先進彈藥
"Fire Damage and Area",火焰傷害和範圍
"Damage against Burning Enemies",對燃燒敵人的傷害
"Ignite and Critical Chance",點燃機率
"Critical Ignite Effect",點燃機率
"Total Incineration",散播火焰
"Burning Nature",燃燒之性
"Sigil of Fire",火焰符印
"Path of Flame",烈焰之途
"Burn Away",焚燒殆盡
"Echoing Flames",迴盪餘焰
"Intense Flames",熊熊烈火
"Volcanic Skin",火山皮膚
"Burning Strikes",灼熱打擊
Incendiary,爆燃
Fulmination,劇烈爆發
"Cast Speed with Cold Skills",冰冷技能施放速度
"Cold and Fire Damage",冰冷和火焰傷害
"Cold Nature",冰寒之性
"Sigil of Ice",冰霜符印
"Thin Ice",如履薄冰
"Heavy Frost",厚重冰霜
"Path of Winter",凜冬之途
"Harsh Winter",嚴冬
"Climate Change",氣候變遷
"Echoing Frost",迴盪寒霜
"Endless Blizzard",無盡暴雪
"Essence of the Mountain",山地精華
"Lightning Skill Speed",閃電技能速度
